Author,Title,Publisher,Grade,JacketCondition,Binding,BookType,ISBN ,PublishYear,Edition,Pages,Notes
"Walker , Steven L.","Arizona, the Grand Canyon State",Canyon Lands,Fair,No Jacket,Soft Cover,Travel,None,1991,,80,
"Walker, Cynthia, Whitesides, Elvin, Morria, Rob",Hard Choices: No. 7,The Humorous Corp.,Very Good,No Jacket,Soft Cover,Education,No ISBN,1991,,158,
"Walter, Steven",Arizona Magazine,"Camelback Design Group, In.c",Good,No Jacket,Soft Cover,Magazine,,1991,,81,
"Weiss, Donald H.","Fair, Square and Legal",Amacom,Good,No Jacket,Hard Cover,Novel,0-8144-5976-5,1991,,316,
"Weyn, Susan",Sitting Pretty Checking In,Troll,Fair,No Jacket,Soft Cover,Young Adult,816720045,1991,,122,
"Whitney, Diana",Child of the Storm,Silhouette Books,Fair,No Jacket,Soft Cover,Novel,373097026,1991,1st Edition,251,
"Wilcox, Collin",Hire a Hangman,Detective Book Club,Good,No Jacket,Hard Cover,Mystery,None,1991,,,
"Wolzien, Valerie",We Wish You a Merry Murder,Fawcett Gold Medal,Very Good,No Jacket,Soft Cover,Mystery,449147231,1991,,283,
"Yeoman, R.S.",A Guide Book of United States Coins,Wesern Publishing,As New,No Jacket,Hard Cover,Collector,307198928,1991,44th,,
Albert. Susan Wittig,Thyme of Death,Berkley Prime Crime,As New,No Jacket,Soft Cover,Mystery,4251409899,1992,,,
"Allen, James",As a Man Thinketh,Barnes & Noble,As New,No Jacket,Hard Cover,Self Help,880297859,1992,,52,
American College of Sports Medicine,ACSM Fitness Book,Leisure Books,As New,No Jacket,Soft Cover,Health,880114606,1992,,,
"Atkins, Rober C.",Dr. Atkins New Diet Revolution,"M. Evans & Company, Inc.",,,Hard Cover,Education,087131794X,1992,,320,
"Benton, D.A.",Lions Don't Need to Roar,Warner Books,As New,As New,Hard Cover,Self Help,44516678,1992,,257,
"Bernhardt, William",Blind Justice,Ballantine Books,Good,No Jacket,Soft Cover,Mystery,245374835,1992,,508,
"Bohn, Chris & Meyers, Susan",The Print Shop Deluxe,Broderbund,Good,No Jacket,Soft Cover,Reference,None,1992,,,
"Braun, Lillian Jackson",The Cat Who Moved a Mountain,Jove Books,Good,No Jacket,Soft Cover,Mystery,515109509,1992,,261,
"Braun, Lillian Jackson",The Cat Who Moved a Mountain,Jove Books,Very Good,No Jacket,Soft Cover,Mystery,515109509,1992,,261,
Broderbund,The Print Shop Deluxe,Version is for Windows,Good,No Jacket,Hard Cover,Education,,1992,,96,
"Burke, Richard E.",The Senator,St. Masrtin's Press,Very Good,Good,Hard Cover,Political,0-312-09134-6,1992,1st Edition,328,
"Clark, Carol Higgins",Decked,Warner Books,Fine,Very Good,Hard Cover,Mystery,446515493,1992,,230,
"Clark, Mary Higgins",All Around the Town,Pocket Books,As New,No Jacket,Soft Cover,Mystery,0-671-76348-9,1992,,341,
"Clark, Mary Higgins","Loves Music, Loves to Dance",Pocket Books,Good,No Jacket,Soft Cover,Mystery,0-671-75889-6,1992,,,
"Connelly, Michael",Black Echo,Warner Books,As New,No Jacket,Soft Cover,Mystery,446612731,1992,,482,
"Conti, Peter","Honda Civic Repair Manual, 1984-1991","Freeman, Kerry A.",Good,No Jacket,Soft Cover,Education,0-8019-8256-1,1992,,,
"Cornwell, Art",Freeing the Corporate Mind: How to Spur Innovation in Business,Execu-Press,As New,No Jacket,Hard Cover,Education,963080709,1992,1st Edition,178,Signed by Author
"Cornwell, Patricia",All That Remains,Avon Books,As New,No Jacket,Soft Cover,Mystery,380718332,1992,,406,
"Cornwell, Patricia",All That Remains,Avon Books,As New,No Jacket,Soft Cover,Mystery,380718332,1992,,406,
"Cornwell, Patricia",All That Remains,Avon Books,As New,No Jacket,Soft Cover,Mystery,0-380-71832-2,1992,,406,
"Cornwell, Patricia",All That Remains,Pocket Books,Good,No Jacket,Soft Cover,Mystery,074349153X,1992,,404,
"Cornwell, Patricia",All That Rremains,Charles Scribner & Son,As New,Fair,Hard Cover,Mystery,684193957,1992,,373,
"Coulter, Catherine",The Hellion Bride,Jove Books,Fair,No Jacket,Soft Cover,Romance,515109746,1992,,378,
"Cussler, Clive",Sahara,Pocket Star,Fine,No Jacket,Soft Cover,Adventure,9.78E+12,1992,,693,
"Daheim, Mary","Murder, My Suite",Avon Books,As New,No Jacket,Soft Cover,Mystery,380778777,1992,,,
"Daheim, Mary",The Alpine Advocate,Ballantine Books,Very Good,No Jacket,Soft Cover,Mystery,345376722,1992,,233,
"Daheim, Mary",The Alpine Mysteries Omnibus,Wings Book,Very Good,Good,Hard Cover,Mystery,1.40E+14,1992,,738,
Davidson Diane Mott,Dying for Chocolate,Bantam Book,As New,Good,Hard Cover,Mystery,055308576X,1992,,287,
"Disney, Walt",Pinocchio,A Golden Book,Very Good,No Jacket,Hard Cover,Child's Book,No ISBN,1992,,,
"Donaldson, Stephen",A Dark and Hungry God Arises,Bantam Books,Very Good,No Jacket,Soft Cover,Science Fiction,553562606,1992,,518,
"Donaldson, Stephen R.",A Dark and Hungry God Arises,Bantam Books,Very Good,No Jacket,Soft Cover,Fantasy,553562606,1992,,,
"Drews, Christine M.",Guidelines for Employee Health Promotion Programs,Human Kinetics Books,As New,No Jacket,Mass Market Paperback,Education,873223519,1992,,139,
"Engelbreit, Mary",A Good Marriage,Andrews and McMeel,Very Good,As New,Hard Cover,Art,836246012,1992,,,
"Engelbreit, Mary",Life is Just a Chair of Bowlies,Andrews and McMeel,As New,No Jacket,Hard Cover,Child's Book,0-8362-4604-7,1992,,,
"Garwood, Julie",The Secret,Pocket Books,Very Good,No Jacket,Soft Cover,Mystery,671744216,1992,,379,
"Garwood, Julie",The Secret,Pocket Books,Good,No Jacket,Soft Cover,Romance,671744216,1992,,379,
"Garwood, Julie",The Secret,Pocket Books,Very Good,No Jacket,Soft Cover,Romance,674744216,1992,,379,
"Gilman, Dorothy",Caravan,Doubledaiy & Co.,As New,Very Good,Hard Cover,Mystery,385423616,1992,,263,
"Grafton, Sue",I is for Innocent,Fawcett Crest,As New,No Jacket,Soft Cover,Mystery,449221512,1992,,343,
"Grafton, Sue",I is for Innocent,Faucett Crest,Very Good,No Jacket,Soft Cover,Mystery,0-449-22151-2,1992,,329,
"Greenleaf, Stephen",States Evidence,Bantam Books,Very Good,No Jacket,Soft Cover,Mystery,553293494,1992,,308,
"Grimee, Nikkt",Pinocchio,Western Publishing,Fine,No Jacket,Soft Cover,Child's Book,307101894,1992,,,
"Grisham, John",The Pelican Brief,Island Books,Good,No Jacket,Soft Cover,Mystery,440214041,1992,,436,
"Haskins, Jim",Colin Powell,Scholastic,As New,No Jacket,Soft Cover,Biography,590898159,1992,,101,
Heloise,Heloise from A to Z,A Perigee Book,Very Good,No Jacket,Soft Cover,Education,399517502,1992,,430,
"Hoag, Tami",Lucky's Lady,Bantam Books,As New,No Jacket,Soft Cover,Mystery,553587188,1992,,368,
"Hoag, Tami",Lucky's Lady,Bantam Books,Very Good,No Jacket,Soft Cover,Mystery,0-553-58718-8,1992,,368,
"Hoag, Tami",Magic,Bantam Books,Fair,No Jacket,Soft Cover,Mystery,553290533,1992,,322,
"Hoag, Tami",Still Waters,Bantam Books,Good,Good,Hard Cover,Mystery,739403826,1992,,446,
"Hoag, Tami",Still Waters,Bantam Books,As New,No Jacket,Soft Cover,Mystery,0-553-29272-2,1992,,430,
Jackson Lisa,Abandoned,Harlequin Books,As New,No Jacket,Soft Cover,Romance,1.40E+14,1992,,506,
"Jance, J. A.",Without Due Process,Avon Books,As New,No Jacket,Soft Cover,Mystery,380758377,1992,,359,
"Keating, H. R. F.",Cheating Death,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1992,,,
"Kellerman, Jonathan",Private Eyes,Bantam Books,As New,No Jacket,Soft Cover,Mystery,553299506,1992,,523,
"Kellerman, Jonathan",Private Eyes,A Bantam Book,Very Good,No Jacket,Soft Cover,Mystery,553299506,1992,,525,
"Kelton, Elmer",Slaughter,Bantam Book,Fair,No Jacket,Soft Cover,Mystery,553565478,1992,,438,
"Kingsley, Amanda",Hellcat,Leisure Books,Very Good,No Jacket,Soft Cover,Mystery,0-8439-3306-2,1992,,395,
"Krantz, Judith",Scruples Two,"Crown Publishers, Inc.",As New,Fine,Hard Cover,Novel,517582287,1992,1st Edition,517,
"Lamb, Wally",She's Come Undone,Pocket Books,Good,No Jacket,Soft Cover,Humor,0-671-02100-1,1992,,,
"Limbaugh, Rush H. III",The Way Things Ought to be,Pocket Star Book,Good,No Jacket,Soft Cover,Humor,671751506,1992,,315,
"Limbaugh, Rush H., III",The Way Things Ought to be,Pocket Books,As New,Very Good,Hard Cover,Historical,0671075145X,1992,1st Edition,304,
"London, Jonathan",The Owl Who Became the Moon,Dutton,Very Good,No Jacket,Hard Cover,Child's Book,525450548,1992,First Edition,,
"Marcinko, Richard w/ John Weisman",Rogue Warrior,Pocket Books,Very Good,No Jacket,Soft Cover,Autobiography,671795937,1992,,397,
"Martin, Albro",Railroads Triumphant,Oxford University Press,As New,Very Good,Hard Cover,Historical,0-19-503853-3,1992,,428,
"Montgomery, L. M.",Anne of Green Gables,Reader's Digest,As New,No Jacket,Hard Cover,Novel,895774348,1992,,262,
"Mosley, Walter",A Red Death,Pocket Books,Poor,No Jacket,Soft Cover,Mystery,671749897,1992,,245,
"Patterson, James",Along Came a Spider,Warner Books,Fair,No Jacket,Soft Cover,Mystery,446364193,1992,,502,
"Patterson, Richard North",Degree of Guilt,Ballantine Books,As New,No Jacket,Soft Cover,Mystery,034538184X,1992,,534,
"Powell, Colin",A Biography of Jim Haskins,Scholastic,Very Good,No Jacket,Soft Cover,Biography,0-590-89815-9,1992,,101,
"Prelutsky, Jack",Something Big Has Been Here,Scholastic,Fair,No Jacket,Soft Cover,Child's Book,590455095,1992,,,
"Preston, Douglas & Child, Lincoln",Brimstone,Warner Vision Books,Very Good,No Jacket,Soft Cover,Thriller,446612758,1992,,,
"Rice, Anne",The Tale of the Body Thief,Alfred A. Knoff,Very Good,Very Good,Hard Cover,Novel,679405283,1992,,430,
"Roberts, Nora",Divine Evil,Bantam Books,Very Good,No Jacket,Soft Cover,Romance,553294903,1992,,568,
"Roberts, Nora",Entranced,Silhouette Books,Good,No Jacket,Soft Cover,Romance,373285019,1992,,297,
"Sanders, Lawrence",McNally's Luck,G. P. Putnam's Sons,As New,As New,Hard Cover,Mystery,399137629,1992,,319,
"Sanders, Lawrence",McNally's Luck,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425137457,1992,,324,
"Sanders, Lawrence",McNally's Secret,G. P. Putnam's Sons,As New,Good,Hard Cover,Mystery,399136754,1992,,317,
"Sanders, Lawrence",McNally's Secret,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425135721,1992,,341,
"Sandfford, John",Silent Prey,Berklely Books,As New,No Jacket,Soft Cover,Mystery,0-425-13756-2,1992,,374,
"Sandfford, John",Silent Prey,Berklely Books,As New,No Jacket,Soft Cover,Mystery,0-425-13756-2,1992,,374,
"Sandford, John",Silent Prey,Berklely Books,Fair,No Jacket,Soft Cover,Mystery,425167562,1992,,358,
Sandra Brown,The Silken Web,Warner Books,Fair,No Jacket,Soft Cover,Mystery,446364797,1992,,325,
"Sarabande, William",Thunder in the Sky,Bantam Book,Poor,No Jacket,Soft Cover,Ficton,553291068,1992,,452,
"Saul, John",Darkness,Bantam Book,Good,No Jacket,Soft Cover,Mystery,553297260,1992,,373,
"Schwarzkopf, General H. Norman",It Doesn't Take a Hero,Bantam Books,Fair,Good,Hard Cover,Autobiography,553089447,1992,,,
"Sheldon, Sidney",The Stars Shine Down,William Morrow,As New,Very Good,Hard Cover,Mystery,688121004,1992,First Edition,558,
"Sheldon, Sidney",The Stars Shine Down,William Morrow,As New,Fair,Hard Cover,Novel,688084907,1992,First Edition,399,
"Shields, Mary",Loving a Happy Dog,Pyrola Publishing,Very Good,No Jacket,Hard Cover,Child's Book,961834838,1992,1st Edition,,
"Taylor, Barbara",Focus on Light,Shooting Star Press,Poor,No Jacket,Hard Cover,Education,0-531-17381-X,1992,,32,
"Taylor, William",Knitwits,Scholastic,Good,No Jacket,Soft Cover,Young Adult,590457799,1992,,101,
"Waller, Robert James",The Bridges of Madison County,Warner Books,As New,Fair,Hard Cover,Travel,044651652X,1992,1st Edition,171,
"Weiner, Eric",Clue: The Case of the Invisible Cat,"Scholastic, Inc.",,No Jacket,Soft Cover,Chap Book,0-590-45632-6,1992,,104,
"Weiner, Eric",Clue: The Secret Secret Passage,"Scholastic, Inc.",,No Jacket,Soft Cover,Chap Book,0-590-45631-8,1992,,97,
"Weiner, Eric",Clue: Who Killed Mr. Boddy,"Scholastic, Inc.",,No Jacket,Soft Cover,Chap Book,0-590-46110-9,1992,,102,
"Westlake, Donald",Humans,Detective Book Club,Very Good,No Jacket,Hard Cover,Mystery,None,1992,,355,
"Williams, Chuck",Pasta,Time Life,As New,As New,Hard Cover,Cook Book,783502123,1992,,108,
"Wolzien, Valerie",All Hallows' Eve,Fawcett Gold Medal,Very Good,No Jacket,Soft Cover,Mystery,449147452,1992,,247,
Wordperfect,Wordpefect Version 6.0,Windows,Good,No Jacket,Soft Cover,Education,,1992,,968,
"Yalom,. Irvin D.",When Nietsche Wept,HarperPerennial,Good,No Jacket,Soft Cover,Novel,60975504,1992,,312,
" Ferrars, E. X.",Thy Brother Death,Detective Book Club,Very Good,No Jacket,Hard Cover,Mystery,None,1993,,192,
" Peters, Ellis",Fallen Into the Pit,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1993,,,
Albert. Susan Wittig,Witches Bane,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425144062,1993,,255,
"Allan, Margaret",The Mammoth Stone,A Signet Book,Very Good,No Jacket,Soft Cover,Western,451174976,1993,,391,
"Archer, Jeffrey",The Prodigal Daughter,Harper Paperbacks,Good,No Jacket,Soft Cover,Mystery,61007145,1993,,485,
"Barton, Frederick",With Extreme Prejudice,Villard Books,As New,Very Good,Hard Cover,Mystery,679408134,1993,,368,
"Blanchard, Ken & Bowles, Sheldon",Raving Fans,William Morrow,As New,As New,Hard Cover,Education,688123163,1993,,135,
"Block, Lawrence",The Burglar Who Painted Like Mondrian,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1993,,,
"Boylan, Eleanor",Pushing Murder,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1993,,149,
"Boyle, Doe",Gray Wolf Pup,Smithsonion Wild Heritage Collection,Very Good,No Jacket,Soft Cover,Child's Book,1568991363,1993,1st Edition,31,
"Boyle, Gerry",Deadline,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1993,,299,
"Braun, Lillian Jackson",The Cat Who Wasn't There,Jove Books,Very Good,No Jacket,Soft Cover,Mystery,515111279,1993,,279,
"Brown, Sandra",Where There's Smoke,Warner Books,As New,Fine,Hard Cover,Mystery,446516554,1993,First Edition,417,
"Butler, Gwendoline",A Coffin for Charley,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1993,,,
Canfield & Hansen,Chicken Soup for the Soul,Health Communications,Fair,No Jacket,Soft Cover,Health,1-55874-262-X,1993,,308,
"Clancy, Tom",Submarine,Berkely Books,Very Good,No Jacket,Soft Cover,Historical,425138739,1993,,328,
"Clancy, Tom",Without Remorse,G. P. Putnam's Sons,As New,As New,Hard Cover,Novel,399138250,1993,,639,
"Clancy, Tom",Without Remorse,Berklely Books,Good,No Jacket,Soft Cover,Novel,425143325,1993,,750,
"Clark, Carol Higgins",Snagged,Warner Books,As New,As New,Hard Cover,Mystery,446515485,1993,,201,
"Clark, Mary Higgens",All Around the Town,Pocket Books,Poor,No Jacket,Soft Cover,Mystery,7671400650,1993,,341,
"Clark, Mary Higgins",All Around the Town,Pocket Books,Poor,No Jacket,Soft Cover,Mystery,671793489,1993,,341,Cover on book is torn
"Clark, Mary Higgins",I'll be Seeing You,Simon & Schuster,As New,As New,Hard Cover,Mystery,671673661,1993,,317,Signed by Author
"Coben, Harlan",Play Dead,A Signet Book,Fair,No Jacket,Soft Cover,Fiction,9.78E+12,1993,,550,
"Cook, Robin",Fatal Cure,G. P. Putnam's Sons,As New,As New,Hard Cover,Novel,039913879X,1993,,447,
"Cook, Robin",Terminal,G. P. Putnam's Sons,Very Good,Very Good,Hard Cover,Novel,399137718,1993,,445,
"Cook, Robin",Terminal,Berklely Books,Fine,No Jacket,Soft Cover,Novel,425155064,1993,,370,
"Cornwell, Patricia",Cruel and Unusual,Pocket Star,Good,No Jacket,Soft Cover,Mystery,9.78E+12,1993,,409,
"Crichton, Michael",Disclosure,Ballantine Books,Good,No Jacket,Soft Cover,Novel,345391055,1993,,497,
"Crichton, Michael",Jurassic Park,Ballantine Books,Very Good,No Jacket,Soft Cover,Novel,345391055,1993,,399,
"Daheim, Mary",Dune to Death,Avon,As New,No Jacket,Soft Cover,Mystery,0-380-76933-6,1993,,,
"Daheim, Mary",Dune to Death,Avon,Very Good,No Jacket,Soft Cover,Mystery,380769336,1993,,232,
"Daheim, Mary",The Alpine Betrayal,Ballantine Books,Very Good,No Jacket,Soft Cover,Mystery,9.78E+12,1993,,233,
"Daheim, Mary",The Alpine Christmas,Ballantine Books,As New,No Jacket,Soft Cover,Mystery,345382706,1993,,266,
"Drucker, Peter F.",Managing for the Future,Truman Talley,Very Good,No Jacket,Soft Cover,Self Help,452269849,1993,,370,
"Felten, Eric",Ruling Class,The Heritage Fooundation,Very Good,No Jacket,Soft Cover,Historical,NO ISBN,1993,,103,
"Felten, Eric",The Ruling Class Inside the Imperial Congress,Heritage Foundation,As New,No Jacket,Soft Cover,Education,,1993,,,
"Garwood, Julie",Saving Grace,Pocket Books,As New,Very Good,Hard Cover,Romance,671744224,1993,1st Edition,368,
"Garwood, Julie",Saving Grace,Pocket Books,Good,No Jacket,Soft Cover,Romance,671870114,1993,,407,
"Gilman, Dorothy",Mrs. Pollifax and the Second Thief,Doubleday,Poor,Very Good,Hard Cover,Mystery,385471092,1993,,201,"Inf. on cover upside down, however, book is in good condition and jacket is also in very good condition."
"Grafton, Sue",J is for Judgment,Fawcett Crest,As New,No Jacket,Soft Cover,Mystery,449221482,1993,,376,
"Grafton, Sue",J is for Judgment,Fawcett Books,Fair,No Jacket,Soft Cover,Mystery,0-449-22148-2,1993,,360,
"Greenwood, Pamela D.",What About My Goldfish,Clarion Books,Very Good,Very Good,Hard Cover,Child;s Book,0-395-64337-6,1993,,40,
Heloise,Home Sweet Home,A Perigee Book,As New,No Jacket,Soft Cover,Education,0-399-52169-0,1993,,,
Heloise,Home Sweet Home,Berklely Books,Fair,No Jacket,Soft Cover,Paperback,39952169,1993,,,
"Hillerman, Tony",Sacred Clowns,Harper Collins,As New,Very Good,Hard Cover,Mystery,006016767X,1993,,227,
"Hoag, Tami",Cry Wolf,Bantam Books,As New,No Jacket,Soft Cover,Mystery,0-553-56160-X,1993,,528,
"Hurwitz, Johanna",Yellow Blue Jay,Beech Tree,Fair,No Jacket,Soft Cover,Young Adult,688122787,1993,,112,
"James, Bill","Roses, Roses",Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1993,,204,
"Jance, J. A.",Failure to Appear,William Morrow,As New,Fine,Hard Cover,Mystery,068812674X,1993,First Edition,269,
"Jerrod, Jane",Jack and the Beanstalk,Publications International Ltd,As New,No Jacket,Hard Cover,Child's Book,785300309,1993,,,
"Johnson, Anne Akers",Cat's Cradle,Klutz Press,Fair,No Jacket,Hard Cover,Child's Book,1878257536,1993,,,
"Johnston, Terry C.",Blood Song,St. Martin's Paperbacks,As New,No Jacket,Soft Cover,Novel,312929218,1993,,359,
"Kellerman, Faye",Grievious Sin,Fawcett Crest,As New,No Jacket,Soft Cover,Mystery,449003302,1993,,390,
"Kellerman, Jonathan",Devil's Waltz,Ballantine Books,As New,No Jacket,Soft Cover,Mystery,345460715,1993,,495,
"Kellerman, Jonathan",Devil's Waltz,Ballantine Books,As New,No Jacket,Soft Cover,Mystery,0-345-46071-5,1993,,495,
"Kellerman, Jonathan",Devil's Waltz,A Bantam Book,Poor,No Jacket,Soft Cover,Mystery,553563521,1993,,495,
"Kirchheimer, Sid",The Doctors Book of Home Remedies,Rodale Press,As New,No Jacket,Hard Cover,Health,0-87596-158-4,1993,,613,
"Kirchheimer, Sid",The Doctors Book of Home Remedies,Rodale Press,As New,No Jacket,Hard Cover,Health,875961584,1993,,613,
"Koontz, Dean",Dragon Tears,Berklely Books,Good,No Jacket,Soft Cover,Science Fiction,425140032,1993,,401,
"Lamoureux, Maisie & Jane Troop & Dale Craig","Word Perfecct for Windows, Study Guide",Microsoft Corporation,Fair,No Jacket,Mass Market Paperback,Education,None,1993,,,
"Lederman, Leon",The God Particle,Delta Trade Paperbacks,Good,No Jacket,Soft Cover,Humor,385312113,1993,,434,
"Lescroart, John",Hard Evidence,A Signet Book,Good,No Jacket,Soft Cover,Mystery,451206460,1993,,516,
"Limbaugh, Rush H., III","See, I Told You So",Pocket Books,As New,Fine,Hard Cover,Historical,067187120X,1993,,364,
"Ludlum, Robert",The Road to Omaha,Bantam Book,Fair,No Jacket,Soft Cover,Mystery,553560441,1993,,570,
"Margulies, Teddy Slater",Snow White and the Seven Dwarfs,Western Publishing Co. Inc.,Very Good,No Jacket,Soft Cover,Child's Book,307126862,1993,,,
Mary,Love,Devorss,Good,No Jacket,Soft Cover,Self Help,875160565,1993,,,
"McBrier, Page","Aladdin, Don't Bug the Genie",Mega Books,Very Good,No Jacket,Hard Cover,Child's Book,1562362509,1993,,60,
"McCracken, Robert D.",Eureka Memories,Eureka County History Project,Fine,Fair,Hard Cover,Historical,No ISBN,1993,,,
"Muntean, Michaela",I Want to be President,Dalmatian Press,Very Good,No Jacket,Soft Cover,Child's Book,9.78E+12,1993,,,
"Paulsen, Gary",Nightjohn,LaurelLeaf Books,Fair,No Jacket,Soft Cover,Historical,440219361,1993,,92,
